*IDN? Returned 31 bytes: CMT, C1209, 00000001, 24.3.4/1


           Frequency                 Real                 Imag                 Loss
   6075032500.000000            -0.157964             0.958141             0.254945
   6120032000.000000            -0.073650             0.966365             0.272021
   6165031500.000000             0.008420             0.967609             0.285677
   6210031000.000000             0.085969             0.962155             0.300561
   6255030500.000000             0.160767             0.951070             0.313397
   6300030000.000000             0.232744             0.934811             0.324322
   6345029500.000000             0.301767             0.913943             0.332221
   6390029000.000000             0.367863             0.888985             0.335683
   6435028500.000000             0.427923             0.860787             0.342937
   6480028000.000000             0.485437             0.829012             0.348404
   6525027500.000000             0.539636             0.794209             0.352805
   6570027000.000000             0.590739             0.756488             0.356240
   6615026500.000000             0.638803             0.716046             0.358385
   6660026000.000000             0.683680             0.673081             0.359965
   6705025500.000000             0.725327             0.628009             0.359790
   6750025000.000000             0.763338             0.581388             0.358834
   6795024500.000000             0.797710             0.533646             0.356838
   6840024000.000000             0.828589             0.485011             0.353655
   6885023500.000000             0.856150             0.435575             0.349312
   6930023000.000000             0.880622             0.385326             0.343413
   6975022500.000000             0.901931             0.334351             0.337310
   7020022000.000000             0.920236             0.282170             0.331764
   7065021500.000000             0.935704             0.229188             0.324198
   7110021000.000000             0.948345             0.175344             0.314683
   7155020500.000000             0.958162             0.121082             0.302419
   7200020000.000000             0.965044             0.066599             0.288426
   7245019500.000000             0.968842             0.012360             0.274230
   7290019000.000000             0.969741            -0.041377             0.258987
   7335018500.000000             0.967698            -0.094595             0.243903
   7380018000.000000             0.962770            -0.147074             0.229368
   7425017500.000000             0.955204            -0.199088             0.213403
   7470017000.000000             0.944895            -0.250624             0.197062
   7515016500.000000             0.931832            -0.301729             0.180223
   7560016000.000000             0.916002            -0.352353             0.162779
   7605015500.000000             0.897601            -0.401931             0.144675
   7650015000.000000             0.876763            -0.450331             0.125521
   7695014500.000000             0.853728            -0.497105             0.105664
   7740014000.000000             0.828210            -0.542583             0.086284
   7785013500.000000             0.800414            -0.586900             0.065138
   7830013000.000000             0.769707            -0.630142             0.045721
   7875012500.000000             0.736197            -0.672354             0.025930
   7920012000.000000             0.700162            -0.712986             0.006187
   7965011500.000000             0.662325            -0.751774            -0.016634
   8010011000.000000             0.622808            -0.788229            -0.039750
   8055010500.000000             0.581369            -0.822608            -0.063266
   8100010000.000000             0.537844            -0.854793            -0.085773
   8145009500.000000             0.492160            -0.884789            -0.107544
   8190009000.000000             0.444198            -0.912561            -0.128708
   8235008500.000000             0.394442            -0.938031            -0.151444
   8280008000.000000             0.343354            -0.960819            -0.174774
   8325007500.000000             0.291251            -0.980680            -0.197640
   8370007000.000000             0.238226            -0.997679            -0.220629
