*IDN? Returned 31 bytes: CMT, C1209, 00000001, 24.3.4/1


           Frequency                 Real                 Imag
   2340074000.000000            -0.997404            -0.068216
   2385073500.000000            -0.998839             0.007531
   2430073000.000000            -0.994192             0.084331
   2475072500.000000            -0.983387             0.161676
   2520072000.000000            -0.966152             0.239306
   2565071500.000000            -0.942162             0.317619
   2610071000.000000            -0.910936             0.395508
   2655070500.000000            -0.871634             0.473077
   2700070000.000000            -0.823720             0.549801
   2745069500.000000            -0.766713             0.624534
   2790069000.000000            -0.699801             0.696397
   2835068500.000000            -0.621907             0.764680
   2880068000.000000            -0.531220             0.828209
   2925067500.000000            -0.424727             0.885363
   2970067000.000000            -0.297912             0.933124
   3015066500.000000            -0.141305             0.965056
   3060066000.000000             0.067575             0.960780
   3105065500.000000             0.366658             0.806792
   3150065000.000000             0.229702             0.307558
   3195064500.000000             0.080893             0.528223
   3240064000.000000             0.231010             0.492114
   3285063500.000000             0.242309             0.323092
   3330063000.000000             0.110306             0.249425
   3375062500.000000             0.027513             0.323314
   3420062000.000000             0.059429             0.405085
   3465061500.000000             0.138888             0.426387
   3510061000.000000             0.213302             0.398319
   3555060500.000000             0.268789             0.344574
   3600060000.000000             0.305033             0.277081
   3645059500.000000             0.320399             0.198892
   3690059000.000000             0.305205             0.118568
   3735058500.000000             0.261608             0.055300
   3780058000.000000             0.201763             0.021787
   3825057500.000000             0.146661             0.024087
   3870057000.000000             0.119272             0.047311
   3915056500.000000             0.123456             0.065472
   3960056000.000000             0.143491             0.060028
   4005055500.000000             0.155003             0.028882
   4050055000.000000             0.140116            -0.012601
   4095054500.000000             0.097212            -0.042079
   4140054000.000000             0.041808            -0.040226
   4185053500.000000             0.001210            -0.004459
   4230053000.000000            -0.003969             0.046484
   4275052500.000000             0.027147             0.084889
   4320052000.000000             0.076823             0.088561
   4365051500.000000             0.114974             0.054209
   4410051000.000000             0.118046             0.001263
   4455050500.000000             0.080471            -0.039413
   4500050000.000000             0.023054            -0.039448
   4545049500.000000            -0.014424             0.006584
   4590049000.000000             0.001707             0.071643
   4635048500.000000             0.074420             0.109158
   4680048000.000000             0.168530             0.082475
   4725047500.000000             0.232203            -0.010269
   4770047000.000000             0.225495            -0.134163
   4815046500.000000             0.143266            -0.232254
   4860046000.000000             0.023928            -0.255936
   4905045500.000000            -0.064561            -0.198160
   4950045000.000000            -0.064547            -0.110145
   4995044500.000000             0.025749            -0.082898
   5040044000.000000             0.115564            -0.186906
   5085043500.000000             0.078972            -0.376273
   5130043000.000000            -0.116116            -0.514246
   5175042500.000000            -0.377208            -0.491278
   5220042000.000000            -0.579349            -0.319039
   5265041500.000000            -0.650144            -0.046152
   5310041000.000000            -0.513306             0.235347
   5355040500.000000            -0.130347             0.321580
   5400040000.000000             0.148978            -0.110943
   5445039500.000000            -0.257382            -0.494580
   5490039000.000000            -0.670929            -0.301130
   5535038500.000000            -0.713718             0.093282
   5580038000.000000            -0.107394             0.037955
   5625037500.000000            -0.880821            -0.272947
   5670037000.000000            -0.977197             0.150136
   5715036500.000000            -0.912260             0.390836
   5760036000.000000            -0.821464             0.552613
   5805035500.000000            -0.723930             0.670811
   5850035000.000000            -0.624944             0.759724
   5895034500.000000            -0.526887             0.827208
   5940034000.000000            -0.430757             0.877982
   5985033500.000000            -0.336808             0.915427
   6030033000.000000            -0.245821             0.941603
   6075032500.000000            -0.158027             0.958181
   6120032000.000000            -0.073603             0.966363
   6165031500.000000             0.008350             0.967613
   6210031000.000000             0.085878             0.962208
   6255030500.000000             0.160749             0.951120
   6300030000.000000             0.232691             0.934851
   6345029500.000000             0.301722             0.914009
   6390029000.000000             0.367849             0.889007
   6435028500.000000             0.427886             0.860806
   6480028000.000000             0.485449             0.829012
   6525027500.000000             0.539590             0.794249
   6570027000.000000             0.590741             0.756566
   6615026500.000000             0.638819             0.716033
   6660026000.000000             0.683683             0.673100
   6705025500.000000             0.725349             0.628059
   6750025000.000000             0.763345             0.581396
   6795024500.000000             0.797729             0.533645
   6840024000.000000             0.828573             0.485025
   6885023500.000000             0.856141             0.435572
   6930023000.000000             0.880607             0.385286
   6975022500.000000             0.901916             0.334258
   7020022000.000000             0.920198             0.282158
   7065021500.000000             0.935678             0.229196
   7110021000.000000             0.948296             0.175282
   7155020500.000000             0.958137             0.121091
   7200020000.000000             0.965046             0.066605
   7245019500.000000             0.968823             0.012364
   7290019000.000000             0.969734            -0.041389
   7335018500.000000             0.967728            -0.094549
   7380018000.000000             0.962756            -0.147107
   7425017500.000000             0.955197            -0.199087
   7470017000.000000             0.944861            -0.250631
   7515016500.000000             0.931820            -0.301723
   7560016000.000000             0.915979            -0.352373
   7605015500.000000             0.897618            -0.401922
   7650015000.000000             0.876766            -0.450299
   7695014500.000000             0.853734            -0.497093
   7740014000.000000             0.828276            -0.542546
   7785013500.000000             0.800401            -0.586909
   7830013000.000000             0.769682            -0.630134
   7875012500.000000             0.736207            -0.672358
   7920012000.000000             0.700140            -0.712994
   7965011500.000000             0.662322            -0.751769
   8010011000.000000             0.622777            -0.788211
   8055010500.000000             0.581283            -0.822599
   8100010000.000000             0.537841            -0.854788
   8145009500.000000             0.492118            -0.884731
   8190009000.000000             0.444157            -0.912567
   8235008500.000000             0.394406            -0.937985
   8280008000.000000             0.343331            -0.960809
   8325007500.000000             0.291285            -0.980688
   8370007000.000000             0.238213            -0.997668
   8415006500.000000             0.184081            -1.011637
   8460006000.000000             0.128714            -1.022575
   8505005500.000000             0.072136            -1.030430
   8550005000.000000             0.014514            -1.035376
   8595004500.000000            -0.048144            -1.037824
   8640004000.000000            -0.107331            -1.035934
   8685003500.000000            -0.166001            -1.030601
   8730003000.000000            -0.224043            -1.021719
