*IDN? Returned 31 bytes: CMT, C1209, 00000001, 24.3.4/1


           Frequency                 Real                 Imag                 Loss
   7065021500.000000             0.935699             0.229260            -5.119059
   7110021000.000000             0.948326             0.175327            -5.140407
   7155020500.000000             0.958170             0.121103            -5.169540
   7200020000.000000             0.965032             0.066613            -5.201532
   7245019500.000000             0.968846             0.012370            -5.234747
   7290019000.000000             0.969744            -0.041353            -5.270015
   7335018500.000000             0.967698            -0.094584            -5.304869
   7380018000.000000             0.962810            -0.147060            -5.339307
   7425017500.000000             0.955144            -0.199122            -5.374397
   7470017000.000000             0.944873            -0.250652            -5.412919
   7515016500.000000             0.931791            -0.301721            -5.451266
   7560016000.000000             0.916004            -0.352357            -5.492461
   7605015500.000000             0.897570            -0.401932            -5.533584
   7650015000.000000             0.876748            -0.450325            -5.578001
   7695014500.000000             0.853718            -0.497081            -5.623669
   7740014000.000000             0.828257            -0.542573            -5.669368
   7785013500.000000             0.800401            -0.586921            -5.717394
   7830013000.000000             0.769736            -0.630153            -5.762584
   7875012500.000000             0.736197            -0.672348            -5.807360
   7920012000.000000             0.700210            -0.713017            -5.853902
   7965011500.000000             0.662344            -0.751768            -0.044295
   8010011000.000000             0.622783            -0.788229            -0.105012
   8055010500.000000             0.581370            -0.822616            -0.167874
   8100010000.000000             0.537819            -0.854785            -0.226937
   8145009500.000000             0.492126            -0.884739            -0.283741
   8190009000.000000             0.444134            -0.912554            -0.340406
   8235008500.000000             0.394470            -0.938020            -0.401493
   8280008000.000000             0.343344            -0.960825            -0.463388
   8325007500.000000             0.291326            -0.980713            -0.525139
   8370007000.000000             0.238168            -0.997646            -0.583872
   8415006500.000000             0.184070            -1.011636            -0.641375
   8460006000.000000             0.128689            -1.022576            -0.694963
   8505005500.000000             0.072112            -1.030421            -0.746269
   8550005000.000000             0.014472            -1.035332            -0.801769
   8595004500.000000            -0.048129            -1.037829            -0.879708
   8640004000.000000            -0.107320            -1.035965            -0.936492
   8685003500.000000            -0.166042            -1.030557            -0.988137
   8730003000.000000            -0.224025            -1.021766            -1.036358
   8775002500.000000            -0.281697            -1.009468            -1.080317
   8820002000.000000            -0.339401            -0.993649            -1.123756
   8865001500.000000            -0.396440            -0.974403            -1.166447
   8910001000.000000            -0.453060            -0.951543            -1.208722
   8955000500.000000            -0.508855            -0.924717            -1.243267
   9000000000.000000            -0.563277            -0.894256            -1.273612

Time taken: 3303195 ms
Press ENTER to close...
