*IDN? Returned 31 bytes: CMT, C1209, 00000001, 24.3.4/1


           Frequency                 Real                 Imag                 Loss
   1800080000.000000            -0.632865            -0.782588            -3.034020
   1845079500.000000            -0.681727            -0.740217            -3.033606
   1890079000.000000            -0.727899            -0.694155            -3.032194
   1935078500.000000            -0.771280            -0.644752            -3.030600
   1980078000.000000            -0.811840            -0.591994            -3.029111
   2025077500.000000            -0.849443            -0.535987            -3.028097
   2070077000.000000            -0.883571            -0.476972            -3.027186
   2115076500.000000            -0.913886            -0.414979            -3.026031
   2160076000.000000            -0.939742            -0.350259            -3.023732
   2205075500.000000            -0.961209            -0.283060            -3.021219
   2250075000.000000            -0.978196            -0.213695            -3.019047
   2295074500.000000            -0.990524            -0.142082            -3.017311
   2340074000.000000            -0.997436            -0.068223            -3.014699
   2385073500.000000            -0.998856             0.007505            -3.012031
   2430073000.000000            -0.994202             0.084326             0.003268
   2475072500.000000            -0.983377             0.161668             0.010488
   2520072000.000000            -0.966116             0.239339             0.018087
   2565071500.000000            -0.942184             0.317594             0.024420
   2610071000.000000            -0.911019             0.395470             0.031180
   2655070500.000000            -0.871699             0.473055             0.039434
   2700070000.000000            -0.823681             0.549812             0.048252
   2745069500.000000            -0.766688             0.624535             0.057053
   2790069000.000000            -0.699769             0.696374             0.066944
   2835068500.000000            -0.622003             0.764649             0.076221
   2880068000.000000            -0.531275             0.828219             0.086550
   2925067500.000000            -0.424773             0.885353             0.098545
   2970067000.000000            -0.297878             0.933139             0.113276
   3015066500.000000            -0.141196             0.965046             0.138588
   3060066000.000000             0.067578             0.960836             0.212508
   3105065500.000000             0.366662             0.806756             0.683125
   3150065000.000000             0.229702             0.307549             7.412273
   3195064500.000000             0.080940             0.528200             2.803263
   3240064000.000000             0.231014             0.492085             2.747718
   3285063500.000000             0.242302             0.323097             7.169766
   3330063000.000000             0.110320             0.249423             8.757164
   3375062500.000000             0.027524             0.323313             8.127992
   3420062000.000000             0.059412             0.405083             7.103014
   3465061500.000000             0.138879             0.426378             6.640503
   3510061000.000000             0.213296             0.398323             6.599980
   3555060500.000000             0.268818             0.344576             6.775216
   3600060000.000000             0.305037             0.277066             7.071090
   3645059500.000000             0.320420             0.198906             7.494440
   3690059000.000000             0.305191             0.118531             8.093056
   3735058500.000000             0.261644             0.055308             8.820954
   3780058000.000000             0.201783             0.021811            13.165622
   3825057500.000000             0.146656             0.024103            14.478976
   3870057000.000000             0.119293             0.047305            14.969089
   3915056500.000000             0.123454             0.065470            14.695975
   3960056000.000000             0.143494             0.060026            14.310236
   4005055500.000000             0.154974             0.028865            14.259434
   4050055000.000000             0.140118            -0.012591            14.673039
   4095054500.000000             0.097224            -0.042066            18.973596
   4140054000.000000             0.041808            -0.040209            24.515056
   4185053500.000000             0.001234            -0.004451            44.601978
   4230053000.000000            -0.003959             0.046497            25.602980
   4275052500.000000             0.027145             0.084901            19.787704
   4320052000.000000             0.076833             0.088568            18.433705
   4365051500.000000             0.114974             0.054220            14.997399
   4410051000.000000             0.118053             0.001250            18.393524
   4455050500.000000             0.080482            -0.039408            19.764394
   4500050000.000000             0.023093            -0.039424            25.698492
   4545049500.000000            -0.014424             0.006583            33.065675
   4590049000.000000             0.001716             0.071632            20.629671
   4635048500.000000             0.074390             0.109173            14.879864
   4680048000.000000             0.168495             0.082453            13.539051
   4725047500.000000             0.232219            -0.010270            12.463533
   4770047000.000000             0.225466            -0.134170             8.881234
   4815046500.000000             0.143292            -0.232228             8.755397
   4860046000.000000             0.023927            -0.255940             8.943859
   4905045500.000000            -0.064564            -0.198182            13.034610
   4950045000.000000            -0.064577            -0.110173            14.983735
   4995044500.000000             0.025777            -0.082887            19.899178
   5040044000.000000             0.115548            -0.186916            12.766731
   5085043500.000000             0.078966            -0.376279             7.404777
   5130043000.000000            -0.116153            -0.514259             2.845922
   5175042500.000000            -0.377221            -0.491307             2.285762
   5220042000.000000            -0.579347            -0.319070             2.033088
   5265041500.000000            -0.650110            -0.046122             2.090749
   5310041000.000000            -0.513295             0.235362             2.619945
   5355040500.000000            -0.130331             0.321574             7.860703
   5400040000.000000             0.149000            -0.110933            13.583775
   5445039500.000000            -0.257376            -0.494563             2.663502
   5490039000.000000            -0.670914            -0.301124             1.589431
   5535038500.000000            -0.713664             0.093338             1.685203
   5580038000.000000            -0.107426             0.037949            18.594749
   5625037500.000000            -0.880854            -0.272990             0.468446
   5670037000.000000            -0.977207             0.150129             0.058219
   5715036500.000000            -0.912314             0.390797             0.035175
   5760036000.000000            -0.821415             0.552628             0.050149
   5805035500.000000            -0.723915             0.670811             0.068694
   5850035000.000000            -0.624809             0.759757             0.088331
   5895034500.000000            -0.526874             0.827221             0.105881
   5940034000.000000            -0.430694             0.877959             0.123017
   5985033500.000000            -0.336834             0.915437             0.137873
   6030033000.000000            -0.245757             0.941574             0.151814
   6075032500.000000            -0.157968             0.958181             0.163835
   6120032000.000000            -0.073613             0.966366             0.175527
   6165031500.000000             0.008396             0.967617             0.184596
   6210031000.000000             0.085912             0.962226             0.194183
   6255030500.000000             0.160805             0.951070             0.203657
   6300030000.000000             0.232687             0.934859             0.211390
   6345029500.000000             0.301717             0.913988             0.217117
   6390029000.000000             0.367844             0.888981             0.219844
   6435028500.000000             0.427938             0.860782             0.224961
   6480028000.000000             0.485426             0.829022             0.228868
   6525027500.000000             0.539641             0.794169             0.232226
   6570027000.000000             0.590739             0.756547             0.234176
   6615026500.000000             0.638795             0.716062             0.235968
   6660026000.000000             0.683704             0.673098             0.236944
   6705025500.000000             0.725333             0.628016             0.236942
   6750025000.000000             0.763335             0.581355             0.236472
   6795024500.000000             0.797732             0.533601             0.234951
   6840024000.000000             0.828593             0.485047             0.232496
   6885023500.000000             0.856125             0.435471             0.229981
   6930023000.000000             0.880604             0.385328             0.225422
   6975022500.000000             0.901903             0.334260             0.221320
   7020022000.000000             0.920227             0.282191             0.216969
   7065021500.000000             0.935688             0.229190             0.211601
   7110021000.000000             0.948323             0.175316             0.204806
   7155020500.000000             0.958167             0.121084             0.195783
   7200020000.000000             0.965053             0.066611             0.186419
   7245019500.000000             0.968858             0.012385             0.176899
   7290019000.000000             0.969764            -0.041365             0.166650
   7335018500.000000             0.967726            -0.094546             0.156521
   7380018000.000000             0.962817            -0.147075             0.146605
   7425017500.000000             0.955193            -0.199075             0.136202
   7470017000.000000             0.944890            -0.250625             0.125105
   7515016500.000000             0.931817            -0.301735             0.113751
   7560016000.000000             0.916033            -0.352337             0.101687
   7605015500.000000             0.897545            -0.401947             0.089765
   7650015000.000000             0.876777            -0.450314             0.076392
   7695014500.000000             0.853742            -0.497074             0.062843
   7740014000.000000             0.828255            -0.542560             0.049367
   7785013500.000000             0.800384            -0.586923             0.035011
   7830013000.000000             0.769687            -0.630164             0.021543
   7875012500.000000             0.736177            -0.672341             0.007966
   7920012000.000000             0.700197            -0.713024            -3.013406
   7965011500.000000             0.662344            -0.751789            -3.020989
   8010011000.000000             0.622800            -0.788237            -3.028618
   8055010500.000000             0.581362            -0.822620            -3.036495
   8100010000.000000             0.537831            -0.854800            -3.044036
   8145009500.000000             0.492124            -0.884758            -3.051254
   8190009000.000000             0.444147            -0.912579            -3.058533
   8235008500.000000             0.394451            -0.938037            -3.066312
   8280008000.000000             0.343314            -0.960819            -3.074220
   8325007500.000000             0.291292            -0.980701            -3.082199
   8370007000.000000             0.238189            -0.997633            -3.089875
   8415006500.000000             0.184051            -1.011614            -3.097332
   8460006000.000000             0.128681            -1.022546            -3.104340
   8505005500.000000             0.072128            -1.030455            -3.111285
   8550005000.000000             0.014477            -1.035326            -3.118490
   8595004500.000000            -0.048119            -1.037829            -3.128846
   8640004000.000000            -0.107333            -1.035982            -3.136468
